# x f(x) derivative
-3 0.0497871 0.0497871
-2.995 0.0500366 0.0500366
-2.99 0.0502874 0.0502874
-2.985 0.0505395 0.0505395
-2.98 0.0507928 0.0507928
-2.975 0.0510474 0.0510474
-2.97 0.0513033 0.0513033
-2.965 0.0515605 0.0515605
-2.96 0.0518189 0.0518189
-2.955 0.0520787 0.0520787
-2.95 0.0523397 0.0523397
-2.945 0.0526021 0.0526021
-2.94 0.0528657 0.0528657
-2.935 0.0531307 0.0531307
-2.93 0.053397 0.053397
-2.925 0.0536647 0.0536647
-2.92 0.0539337 0.0539337
-2.915 0.054204 0.054204
-2.91 0.0544757 0.0544757
-2.905 0.0547488 0.0547488
-2.9 0.0550232 0.0550232
-2.895 0.055299 0.055299
-2.89 0.0555762 0.0555762
-2.885 0.0558548 0.0558548
-2.88 0.0561348 0.0561348
-2.875 0.0564161 0.0564161
-2.87 0.0566989 0.0566989
-2.865 0.0569831 0.0569831
-2.86 0.0572688 0.0572688
-2.855 0.0575558 0.0575558
-2.85 0.0578443 0.0578443
-2.845 0.0581343 0.0581343
-2.84 0.0584257 0.0584257
-2.835 0.0587185 0.0587185
-2.83 0.0590129 0.0590129
-2.825 0.0593087 0.0593087
-2.82 0.0596059 0.0596059
-2.815 0.0599047 0.0599047
-2.81 0.060205 0.060205
-2.805 0.0605068 0.0605068
-2.8 0.0608101 0.0608101
-2.795 0.0611149 0.0611149
-2.79 0.0614212 0.0614212
-2.785 0.0617291 0.0617291
-2.78 0.0620385 0.0620385
-2.775 0.0623495 0.0623495
-2.77 0.062662 0.062662
-2.765 0.0629761 0.0629761
-2.76 0.0632918 0.0632918
-2.755 0.063609 0.063609
-2.75 0.0639279 0.0639279
-2.745 0.0642483 0.0642483
-2.74 0.0645703 0.0645703
-2.735 0.064894 0.064894
-2.73 0.0652193 0.0652193
-2.725 0.0655462 0.0655462
-2.72 0.0658748 0.0658748
-2.715 0.066205 0.066205
-2.71 0.0665368 0.0665368
-2.705 0.0668703 0.0668703
-2.7 0.0672055 0.0672055
-2.695 0.0675424 0.0675424
-2.69 0.0678809 0.0678809
-2.685 0.0682212 0.0682212
-2.68 0.0685632 0.0685632
-2.675 0.0689068 0.0689068
-2.67 0.0692522 0.0692522
-2.665 0.0695994 0.0695994
-2.66 0.0699482 0.0699482
-2.655 0.0702988 0.0702988
-2.65 0.0706512 0.0706512
-2.645 0.0710054 0.0710054
-2.64 0.0713613 0.0713613
-2.635 0.071719 0.071719
-2.63 0.0720785 0.0720785
-2.625 0.0724398 0.0724398
-2.62 0.0728029 0.0728029
-2.615 0.0731678 0.0731678
-2.61 0.0735345 0.0735345
-2.605 0.0739031 0.0739031
-2.6 0.0742736 0.0742736
-2.595 0.0746459 0.0746459
-2.59 0.07502 0.07502
-2.585 0.0753961 0.0753961
-2.58 0.075774 0.075774
-2.575 0.0761538 0.0761538
-2.57 0.0765355 0.0765355
-2.565 0.0769192 0.0769192
-2.56 0.0773047 0.0773047
-2.555 0.0776922 0.0776922
-2.55 0.0780817 0.0780817
-2.545 0.0784731 0.0784731
-2.54 0.0788664 0.0788664
-2.535 0.0792617 0.0792617
-2.53 0.079659 0.079659
-2.525 0.0800583 0.0800583
-2.52 0.0804596 0.0804596
-2.515 0.0808629 0.0808629
-2.51 0.0812682 0.0812682
-2.505 0.0816756 0.0816756
-2.5 0.082085 0.082085
-2.495 0.0824965 0.0824965
-2.49 0.08291 0.08291
-2.485 0.0833256 0.0833256
-2.48 0.0837432 0.0837432
-2.475 0.084163 0.084163
-2.47 0.0845849 0.0845849
-2.465 0.0850088 0.0850088
-2.46 0.085435 0.085435
-2.455 0.0858632 0.0858632
-2.45 0.0862936 0.0862936
-2.445 0.0867261 0.0867261
-2.44 0.0871609 0.0871609
-2.435 0.0875977 0.0875977
-2.43 0.0880368 0.0880368
-2.425 0.0884781 0.0884781
-2.42 0.0889216 0.0889216
-2.415 0.0893673 0.0893673
-2.41 0.0898153 0.0898153
-2.405 0.0902655 0.0902655
-2.4 0.090718 0.090718
-2.395 0.0911727 0.0911727
-2.39 0.0916297 0.0916297
-2.385 0.092089 0.092089
-2.38 0.0925506 0.0925506
-2.375 0.0930145 0.0930145
-2.37 0.0934807 0.0934807
-2.365 0.0939493 0.0939493
-2.36 0.0944202 0.0944202
-2.355 0.0948935 0.0948935
-2.35 0.0953692 0.0953692
-2.345 0.0958472 0.0958472
-2.34 0.0963276 0.0963276
-2.335 0.0968105 0.0968105
-2.33 0.0972957 0.0972957
-2.325 0.0977834 0.0977834
-2.32 0.0982736 0.0982736
-2.315 0.0987662 0.0987662
-2.31 0.0992613 0.0992613
-2.305 0.0997588 0.0997588
-2.3 0.100259 0.100259
-2.295 0.100761 0.100761
-2.29 0.101266 0.101266
-2.285 0.101774 0.101774
-2.28 0.102284 0.102284
-2.275 0.102797 0.102797
-2.27 0.103312 0.103312
-2.265 0.10383 0.10383
-2.26 0.10435 0.10435
-2.255 0.104874 0.104874
-2.25 0.105399 0.105399
-2.245 0.105928 0.105928
-2.24 0.106459 0.106459
-2.235 0.106992 0.106992
-2.23 0.107528 0.107528
-2.225 0.108067 0.108067
-2.22 0.108609 0.108609
-2.215 0.109154 0.109154
-2.21 0.109701 0.109701
-2.205 0.110251 0.110251
-2.2 0.110803 0.110803
-2.195 0.111359 0.111359
-2.19 0.111917 0.111917
-2.185 0.112478 0.112478
-2.18 0.113042 0.113042
-2.175 0.113608 0.113608
-2.17 0.114178 0.114178
-2.165 0.11475 0.11475
-2.16 0.115325 0.115325
-2.155 0.115903 0.115903
-2.15 0.116484 0.116484
-2.145 0.117068 0.117068
-2.14 0.117655 0.117655
-2.135 0.118245 0.118245
