# x f(x) derivative
-6.28319 2.44929e-16 1
-6.27819 0.00499998 0.999988
-6.27319 0.00999983 0.99995
-6.26819 0.0149994 0.999888
-6.26319 0.0199987 0.9998
-6.25819 0.0249974 0.999688
-6.25319 0.0299955 0.99955
-6.24819 0.0349929 0.999388
-6.24319 0.0399893 0.9992
-6.23819 0.0449848 0.998988
-6.23319 0.0499792 0.99875
-6.22819 0.0549723 0.998488
-6.22319 0.059964 0.998201
-6.21819 0.0649542 0.997888
-6.21319 0.0699428 0.997551
-6.20819 0.0749297 0.997189
-6.20319 0.0799147 0.996802
-6.19819 0.0848977 0.99639
-6.19319 0.0898785 0.995953
-6.18819 0.0948572 0.995491
-6.18319 0.0998334 0.995004
-6.17819 0.104807 0.994493
-6.17319 0.109778 0.993956
-6.16819 0.114747 0.993395
-6.16319 0.119712 0.992809
-6.15819 0.124675 0.992198
-6.15319 0.129634 0.991562
-6.14819 0.13459 0.990901
-6.14319 0.139543 0.990216
-6.13819 0.144492 0.989506
-6.13319 0.149438 0.988771
-6.12819 0.15438 0.988012
-6.12319 0.159318 0.987227
-6.11819 0.164252 0.986418
-6.11319 0.169182 0.985585
-6.10819 0.174108 0.984727
-6.10319 0.17903 0.983844
-6.09819 0.183947 0.982936
-6.09319 0.188859 0.982004
-6.08819 0.193767 0.981048
-6.08319 0.198669 0.980067
-6.07819 0.203567 0.979061
-6.07319 0.20846 0.978031
-6.06819 0.213347 0.976976
-6.06319 0.21823 0.975897
-6.05819 0.223106 0.974794
-6.05319 0.227978 0.973666
-6.04819 0.232843 0.972514
-6.04319 0.237703 0.971338
-6.03819 0.242556 0.970137
-6.03319 0.247404 0.968912
-6.02819 0.252245 0.967663
-6.02319 0.257081 0.96639
-6.01819 0.261909 0.965093
-6.01319 0.266731 0.963771
-6.00819 0.271547 0.962425
-6.00319 0.276356 0.961055
-5.99819 0.281157 0.959662
-5.99319 0.285952 0.958244
-5.98819 0.29074 0.956802
-5.98319 0.29552 0.955336
-5.97819 0.300293 0.953847
-5.97319 0.305059 0.952334
-5.96819 0.309816 0.950796
-5.96319 0.314567 0.949235
-5.95819 0.319309 0.947651
-5.95319 0.324043 0.946042
-5.94819 0.328769 0.94441
-5.94319 0.333487 0.942755
-5.93819 0.338197 0.941075
-5.93319 0.342898 0.939373
-5.92819 0.34759 0.937646
-5.92319 0.352274 0.935897
-5.91819 0.356949 0.934124
-5.91319 0.361615 0.932327
-5.90819 0.366273 0.930508
-5.90319 0.37092 0.928665
-5.89819 0.375559 0.926798
-5.89319 0.380188 0.924909
-5.88819 0.384808 0.922997
-5.88319 0.389418 0.921061
-5.87819 0.394019 0.919102
-5.87319 0.398609 0.917121
-5.86819 0.40319 0.915116
-5.86319 0.40776 0.913089
-5.85819 0.412321 0.911039
-5.85319 0.416871 0.908966
-5.84819 0.42141 0.90687
-5.84319 0.425939 0.904752
-5.83819 0.430458 0.902611
-5.83319 0.434966 0.900447
-5.82819 0.439462 0.898261
-5.82319 0.443948 0.896052
-5.81819 0.448423 0.893822
-5.81319 0.452886 0.891568
-5.80819 0.457338 0.889293
-5.80319 0.461779 0.886995
-5.79819 0.466208 0.884675
-5.79319 0.470626 0.882333
-5.78819 0.475032 0.879969
-5.78319 0.479426 0.877583
-5.77819 0.483807 0.875174
-5.77319 0.488177 0.872745
-5.76819 0.492535 0.870293
-5.76319 0.49688 0.867819
-5.75819 0.501213 0.865324
-5.75319 0.505533 0.862807
-5.74819 0.509841 0.860269
-5.74319 0.514136 0.857709
-5.73819 0.518418 0.855127
-5.73319 0.522687 0.852525
-5.72819 0.526943 0.8499
-5.72319 0.531186 0.847255
-5.71819 0.535416 0.844589
-5.71319 0.539632 0.841901
-5.70819 0.543835 0.839192
-5.70319 0.548024 0.836463
-5.69819 0.552199 0.833712
-5.69319 0.556361 0.830941
-5.68819 0.560509 0.828149
-5.68319 0.564642 0.825336
-5.67819 0.568762 0.822502
-5.67319 0.572867 0.819648
-5.66819 0.576959 0.816773
-5.66319 0.581035 0.813878
-5.65819 0.585097 0.810963
-5.65319 0.589145 0.808028
-5.64819 0.593178 0.805072
-5.64319 0.597195 0.802096
-5.63819 0.601198 0.7991
-5.63319 0.605186 0.796084
-5.62819 0.609159 0.793048
-5.62319 0.613117 0.789992
-5.61819 0.617059 0.786917
-5.61319 0.620986 0.783822
-5.60819 0.624897 0.780707
-5.60319 0.628793 0.777573
-5.59819 0.632673 0.774419
-5.59319 0.636537 0.771246
-5.58819 0.640385 0.768054
-5.58319 0.644218 0.764842
-5.57819 0.648034 0.761612
-5.57319 0.651834 0.758362
-5.56819 0.655617 0.755093
-5.56319 0.659385 0.751806
-5.55819 0.663135 0.748499
-5.55319 0.66687 0.745174
-5.54819 0.670587 0.741831
-5.54319 0.674288 0.738469
-5.53819 0.677972 0.735088
-5.53319 0.681639 0.731689
-5.52819 0.685289 0.728272
-5.52319 0.688921 0.724836
-5.51819 0.692537 0.721382
-5.51319 0.696135 0.717911
-5.50819 0.699716 0.714421
-5.50319 0.703279 0.710914
-5.49819 0.706825 0.707388
-5.49319 0.710353 0.703845
-5.48819 0.713864 0.700285
-5.48319 0.717356 0.696707
-5.47819 0.720831 0.693111
-5.47319 0.724287 0.689498
-5.46819 0.727726 0.685868
-5.46319 0.731146 0.682221
-5.45819 0.734548 0.678557
-5.45319 0.737931 0.674876
-5.44819 0.741297 0.671178
-5.44319 0.744643 0.667463
-5.43819 0.747971 0.663731
-5.43319 0.75128 0.659983
-5.42819 0.754571 0.656219
-5.42319 0.757843 0.652437
-5.41819 0.761095 0.64864
-5.41319 0.764329 0.644827
-5.40819 0.767544 0.640997
-5.40319 0.770739 0.637151
-5.39819 0.773915 0.63329
-5.39319 0.777072 0.629412
-5.38819 0.780209 0.625519
-5.38319 0.783327 0.62161
-5.37819 0.786425 0.617686
-5.37319 0.789504 0.613746
-5.36819 0.792563 0.609791
-5.36319 0.795602 0.60582
-5.35819 0.798621 0.601835
-5.35319 0.80162 0.597834
-5.34819 0.804599 0.593818
-5.34319 0.807558 0.589788
-5.33819 0.810497 0.585743
-5.33319 0.813416 0.581683
-5.32819 0.816314 0.577609
-5.32319 0.819192 0.57352
-5.31819 0.822049 0.569417
-5.31319 0.824886 0.5653
-5.30819 0.827702 0.561168
-5.30319 0.830497 0.557023
-5.29819 0.833272 0.552863
-5.29319 0.836026 0.54869
-5.28819 0.838759 0.544503
-5.28319 0.841471 0.540302
-5.27819 0.844162 0.536088
-5.27319 0.846832 0.531861
-5.26819 0.849481 0.52762
-5.26319 0.852108 0.523366
-5.25819 0.854714 0.519099
-5.25319 0.857299 0.514819
-5.24819 0.859862 0.510526
-5.24319 0.862404 0.50622
-5.23819 0.864925 0.501902
-5.23319 0.867423 0.497571
-5.22819 0.8699 0.493228
-5.22319 0.872355 0.488872
-5.21819 0.874789 0.484504
-5.21319 0.877201 0.480124
-5.20819 0.87959 0.475732
-5.20319 0.881958 0.471328
-5.19819 0.884303 0.466913
-5.19319 0.886627 0.462485
-5.18819 0.888928 0.458046
-5.18319 0.891207 0.453596
-5.17819 0.893464 0.449134
-5.17319 0.895699 0.444662
-5.16819 0.897911 0.440177
-5.16319 0.9001 0.435682
-5.15819 0.902268 0.431177
-5.15319 0.904412 0.42666
-5.14819 0.906534 0.422132
-5.14319 0.908633 0.417595
-5.13819 0.91071 0.413046
-5.13319 0.912764 0.408487
-5.12819 0.914795 0.403919
-5.12319 0.916803 0.39934
-5.11819 0.918788 0.394751
-5.11319 0.920751 0.390152
-5.10819 0.92269 0.385543
-5.10319 0.924606 0.380925
-5.09819 0.926499 0.376297
-5.09319 0.928369 0.37166
-5.08819 0.930216 0.367013
-5.08319 0.932039 0.362358
-5.07819 0.933839 0.357693
-5.07319 0.935616 0.353019
-5.06819 0.937369 0.348337
-5.06319 0.939099 0.343646
-5.05819 0.940806 0.338946
-5.05319 0.942489 0.334238
-5.04819 0.944148 0.329521
-5.04319 0.945784 0.324796
-5.03819 0.947396 0.320063
-5.03319 0.948985 0.315322
-5.02819 0.950549 0.310574
-5.02319 0.95209 0.305817
-5.01819 0.953608 0.301053
-5.01319 0.955101 0.296281
-5.00819 0.95657 0.291502
-5.00319 0.958016 0.286715
-4.99819 0.959437 0.281922
-4.99319 0.960835 0.277121
-4.98819 0.962209 0.272313
-4.98319 0.963558 0.267499
-4.97819 0.964884 0.262678
-4.97319 0.966185 0.25785
-4.96819 0.967462 0.253016
-4.96319 0.968715 0.248175
-4.95819 0.969944 0.243329
-4.95319 0.971148 0.238476
-4.94819 0.972329 0.233617
-4.94319 0.973485 0.228753
-4.93819 0.974616 0.223883
-4.93319 0.975723 0.219007
-4.92819 0.976806 0.214125
-4.92319 0.977865 0.209239
-4.91819 0.978899 0.204347
-4.91319 0.979908 0.19945
-4.90819 0.980893 0.194548
-4.90319 0.981854 0.189641
-4.89819 0.982789 0.184729
-4.89319 0.983701 0.179813
-4.88819 0.984588 0.174892
-4.88319 0.98545 0.169967
-4.87819 0.986287 0.165038
-4.87319 0.9871 0.160104
-4.86819 0.987888 0.155167
-4.86319 0.988652 0.150225
-4.85819 0.989391 0.14528
-4.85319 0.990105 0.140332
-4.84819 0.990794 0.135379
-4.84319 0.991458 0.130424
-4.83819 0.992098 0.125465
-4.83319 0.992713 0.120503
-4.82819 0.993303 0.115538
-4.82319 0.993868 0.11057
-4.81819 0.994409 0.105599
-4.81319 0.994924 0.100626
-4.80819 0.995415 0.0956499
-4.80319 0.995881 0.0906716
-4.79819 0.996322 0.0856911
-4.79319 0.996738 0.0807084
-4.78819 0.997129 0.0757238
-4.78319 0.997495 0.0707372
-4.77819 0.997836 0.0657489
-4.77319 0.998152 0.0607589
-4.76819 0.998444 0.0557674
-4.76319 0.99871 0.0507745
-4.75819 0.998952 0.0457803
-4.75319 0.999168 0.040785
-4.74819 0.999359 0.0357887
-4.74319 0.999526 0.0307915
-4.73819 0.999667 0.0257935
-4.73319 0.999784 0.0207948
-4.72819 0.999875 0.0157957
-4.72319 0.999942 0.0107961
-4.71819 0.999983 0.00579629
-4.71319 1 0.000796327
-4.70819 0.999991 -0.00420366
-4.70319 0.999958 -0.00920354
-4.69819 0.999899 -0.0142032
-4.69319 0.999816 -0.0192025
-4.68819 0.999707 -0.0242013
-4.68319 0.999574 -0.0291995
-4.67819 0.999415 -0.034197
-4.67319 0.999232 -0.0391936
-4.66819 0.999023 -0.0441893
-4.66319 0.99879 -0.0491838
-4.65819 0.998531 -0.0541771
-4.65319 0.998248 -0.0591691
-4.64819 0.99794 -0.0641596
-4.64319 0.997606 -0.0691484
-4.63819 0.997248 -0.0741356
-4.63319 0.996865 -0.0791209
-4.62819 0.996457 -0.0841042
-4.62319 0.996024 -0.0890854
-4.61819 0.995566 -0.0940644
-4.61319 0.995083 -0.099041
-4.60819 0.994576 -0.104015
-4.60319 0.994043 -0.108987
-4.59819 0.993486 -0.113956
-4.59319 0.992904 -0.118922
-4.58819 0.992297 -0.123885
-4.58319 0.991665 -0.128844
-4.57819 0.991008 -0.133801
-4.57319 0.990327 -0.138755
-4.56819 0.989621 -0.143704
-4.56319 0.98889 -0.148651
-4.55819 0.988134 -0.153593
-4.55319 0.987354 -0.158532
-4.54819 0.986549 -0.163467
-4.54319 0.985719 -0.168397
-4.53819 0.984865 -0.173324
-4.53319 0.983986 -0.178246
-4.52819 0.983082 -0.183164
-4.52319 0.982154 -0.188077
-4.51819 0.981202 -0.192985
-4.51319 0.980224 -0.197889
-4.50819 0.979223 -0.202787
-4.50319 0.978197 -0.207681
-4.49819 0.977146 -0.212569
-4.49319 0.976071 -0.217452
-4.48819 0.974971 -0.22233
-4.48319 0.973848 -0.227202
-4.47819 0.972699 -0.232068
-4.47319 0.971527 -0.236929
-4.46819 0.97033 -0.241784
-4.46319 0.969109 -0.246632
-4.45819 0.967864 -0.251475
-4.45319 0.966594 -0.256311
-4.44819 0.965301 -0.261141
-4.44319 0.963983 -0.265964
-4.43819 0.962641 -0.27078
