# x f(x) derivative
0.01 0.1 5
0.015 0.122474 4.08248
0.02 0.141421 3.53553
0.025 0.158114 3.16228
0.03 0.173205 2.88675
0.035 0.187083 2.67261
0.04 0.2 2.5
0.045 0.212132 2.35702
0.05 0.223607 2.23607
0.055 0.234521 2.13201
0.06 0.244949 2.04124
0.065 0.254951 1.96116
0.07 0.264575 1.88982
0.075 0.273861 1.82574
0.08 0.282843 1.76777
0.085 0.291548 1.71499
0.09 0.3 1.66667
0.095 0.308221 1.62221
0.1 0.316228 1.58114
0.105 0.324037 1.54303
0.11 0.331662 1.50756
0.115 0.339116 1.47442
0.12 0.34641 1.44338
0.125 0.353553 1.41421
0.13 0.360555 1.38675
0.135 0.367423 1.36083
0.14 0.374166 1.33631
0.145 0.380789 1.31306
0.15 0.387298 1.29099
0.155 0.3937 1.27
0.16 0.4 1.25
0.165 0.406202 1.23091
0.17 0.412311 1.21268
0.175 0.41833 1.19523
0.18 0.424264 1.17851
0.185 0.430116 1.16248
0.19 0.43589 1.14708
0.195 0.441588 1.13228
0.2 0.447214 1.11803
0.205 0.452769 1.10432
0.21 0.458258 1.09109
0.215 0.463681 1.07833
0.22 0.469042 1.066
0.225 0.474342 1.05409
0.23 0.479583 1.04257
0.235 0.484768 1.03142
0.24 0.489898 1.02062
0.245 0.494975 1.01015
0.25 0.5 1
0.255 0.504975 0.990148
0.26 0.509902 0.980581
0.265 0.514782 0.971286
0.27 0.519615 0.96225
0.275 0.524404 0.953463
0.28 0.52915 0.944911
0.285 0.533854 0.936586
0.29 0.538516 0.928477
0.295 0.543139 0.920575
0.3 0.547723 0.912871
0.305 0.552268 0.905357
0.31 0.556776 0.898027
0.315 0.561249 0.890871
0.32 0.565685 0.883883
0.325 0.570088 0.877058
0.33 0.574456 0.870388
0.335 0.578792 0.863868
0.34 0.583095 0.857493
0.345 0.587367 0.851257
0.35 0.591608 0.845154
0.355 0.595819 0.839181
0.36 0.6 0.833333
0.365 0.604152 0.827606
0.37 0.608276 0.821995
0.375 0.612372 0.816497
0.38 0.616441 0.811107
0.385 0.620484 0.805823
0.39 0.6245 0.800641
0.395 0.62849 0.795557
0.4 0.632456 0.790569
0.405 0.636396 0.785674
0.41 0.640312 0.780869
0.415 0.644205 0.776151
0.42 0.648074 0.771517
0.425 0.65192 0.766965
0.43 0.655744 0.762493
0.435 0.659545 0.758098
0.44 0.663325 0.753778
0.445 0.667083 0.749532
0.45 0.67082 0.745356
0.455 0.674537 0.741249
0.46 0.678233 0.73721
0.465 0.681909 0.733236
0.47 0.685565 0.729325
0.475 0.689202 0.725476
0.48 0.69282 0.721688
0.485 0.696419 0.717958
0.49 0.7 0.714286
0.495 0.703562 0.710669
0.5 0.707107 0.707107
0.505 0.710634 0.703598
0.51 0.714143 0.70014
0.515 0.717635 0.696733
0.52 0.72111 0.693375
0.525 0.724569 0.690066
0.53 0.728011 0.686803
0.535 0.731437 0.683586
0.54 0.734847 0.680414
0.545 0.738241 0.677285
0.55 0.74162 0.6742
0.555 0.744983 0.671156
0.56 0.748331 0.668153
0.565 0.751665 0.66519
0.57 0.754983 0.662266
0.575 0.758288 0.65938
0.58 0.761577 0.656532
0.585 0.764853 0.65372
0.59 0.768115 0.650945
0.595 0.771362 0.648204
0.6 0.774597 0.645497
0.605 0.777817 0.642824
0.61 0.781025 0.640184
0.615 0.784219 0.637577
0.62 0.787401 0.635001
0.625 0.790569 0.632456
0.63 0.793725 0.629941
0.635 0.796869 0.627456
0.64 0.8 0.625
0.645 0.803119 0.622573
0.65 0.806226 0.620174
0.655 0.809321 0.617802
0.66 0.812404 0.615457
0.665 0.815475 0.613139
0.67 0.818535 0.610847
0.675 0.821584 0.608581
0.68 0.824621 0.606339
0.685 0.827647 0.604122
0.69 0.830662 0.601929
0.695 0.833667 0.59976
0.7 0.83666 0.597614
0.705 0.839643 0.595491
0.71 0.842615 0.593391
